v_family,v_3p_del,proportions
IGHV3,4,0.03793264225539226
IGHV3,5,0.020246923042531312
IGHV3,6,0.01955712250985201
IGHV3,7,0.003953578978967471
IGHV3,8,0.0025931390395166286
IGHV3,9,0.0007025746166178058
IGHV3,10,0.00030019097255488063
IGHV3,11,0.0003832225181551668
IGHV3,12,0.0002235464689238473
IGHV3,13,0.00010857971347729725
IGHV3,14,0.00045986702178620016
IGHV3,15,8.941858756953893e-05
IGHV3,16,0.00016606309120057228
IGHV3,17,5.109633575402224e-05
IGHV3,18,9.58056295387917e-05
IGHV3,19,1.277408393850556e-05
IGHV3,20,9.58056295387917e-05
IGHV3,21,3.19352098462639e-05
IGHV3,22,2.554816787701112e-05
IGHV3,24,6.38704196925278e-06
IGHV3,26,1.916112590775834e-05
IGHV3,27,6.38704196925278e-06
IGHV3,31,6.38704196925278e-06
IGHV3,33,6.38704196925278e-06
IGHV3,36,1.277408393850556e-05
IGHV3,38,6.38704196925278e-06
IGHV3,40,6.38704196925278e-06
IGHV3,45,6.38704196925278e-06
IGHV3,47,6.38704196925278e-06
IGHV3,53,6.38704196925278e-06
IGHV3,57,6.38704196925278e-06
IGHV3,62,6.38704196925278e-06
IGHV3,67,6.38704196925278e-06
IGHV3,74,6.38704196925278e-06
IGHV3,79,6.38704196925278e-06
IGHV3,80,6.38704196925278e-06
IGHV3,82,6.38704196925278e-06
IGHV3,86,1.916112590775834e-05
IGHV3,90,6.38704196925278e-06
IGHV3,93,6.38704196925278e-06
IGHV4,0,0.21125370187561698
IGHV4,1,0.2933295726977859
IGHV4,2,0.24552249330136794
IGHV4,3,0.13383161754336484
IGHV4,4,0.05062755605697363
IGHV4,5,0.0315893385982231
IGHV4,6,0.022281765618389508
IGHV4,7,0.0016922859963333804
IGHV4,8,0.005076857989000141
IGHV4,9,0.0004230714990833451
IGHV4,10,0.0005640953321111268
IGHV4,11,0.0005640953321111268
IGHV4,12,0.0002820476660555634
IGHV4,13,0.0001410238330277817
IGHV4,14,0.0004230714990833451
IGHV4,16,0.0002820476660555634
IGHV4,17,0.0004230714990833451
IGHV4,18,0.0002820476660555634
IGHV4,20,0.0001410238330277817
IGHV4,22,0.0001410238330277817
IGHV4,31,0.0001410238330277817
IGHV4,57,0.0001410238330277817
IGHV4,58,0.0001410238330277817
IGHV4,66,0.0001410238330277817
IGHV4,72,0.0001410238330277817
IGHV4,73,0.0001410238330277817
IGHV4,76,0.0001410238330277817
IGHV4,95,0.0001410238330277817
IGHV5,0,0.6517018197312645
IGHV5,1,0.169924845172239
IGHV5,2,0.0893189047818453
IGHV5,3,0.054055642489292455
IGHV5,4,0.017367156679082275
IGHV5,5,0.005708240583606991
IGHV5,6,0.005546617298099457
IGHV5,7,0.001443589800101382
IGHV5,8,0.000863215274869783
IGHV5,9,0.0006464931420301354
IGHV5,10,0.0005509884733211381
IGHV5,11,0.0004995628824778319
IGHV5,12,0.00048119660003379395
IGHV5,13,0.00025345469772772354
IGHV5,14,0.0002644744671941463
IGHV5,15,0.00025345469772772354
IGHV5,16,0.00018366282444037937
IGHV5,17,0.00011387095115303522
IGHV5,18,0.00012856397710826555
IGHV5,19,9.550466870899727e-05
IGHV5,20,0.00022774190230607044
IGHV5,21,6.611861679853657e-05
IGHV5,22,6.611861679853657e-05
IGHV5,23,3.3059308399268284e-05
IGHV5,24,4.7752334354498637e-05
IGHV5,25,1.836628244403794e-05
IGHV5,26,2.571279542165311e-05
IGHV5,27,7.346512977615175e-06
IGHV5,28,1.1019769466422763e-05
IGHV5,30,3.6732564888075877e-06
IGHV5,31,3.6732564888075877e-06
IGHV5,33,3.6732564888075877e-06
IGHV5,34,3.6732564888075877e-06
IGHV5,35,7.346512977615175e-06
IGHV5,36,7.346512977615175e-06
IGHV5,38,3.6732564888075877e-06
IGHV5,45,7.346512977615175e-06
IGHV5,47,3.6732564888075877e-06
IGHV5,50,3.6732564888075877e-06
IGHV5,51,7.346512977615175e-06
IGHV5,61,3.6732564888075877e-06
IGHV5,65,3.6732564888075877e-06
IGHV5,66,7.346512977615175e-06
IGHV5,68,3.6732564888075877e-06
IGHV5,73,3.6732564888075877e-06
IGHV5,75,3.6732564888075877e-06
IGHV5,91,3.6732564888075877e-06
IGHV5,92,3.6732564888075877e-06
IGHV5,93,3.6732564888075877e-06
IGHV5,97,3.6732564888075877e-06
IGHV6,0,0.4705654155755989
IGHV6,1,0.20927488442763392
IGHV6,2,0.077829502473087
IGHV6,3,0.1413215659651505
IGHV6,4,0.05439174991109818
IGHV6,5,0.03342708434358129
IGHV6,6,0.00895483787540814
IGHV6,7,0.002618562700029095
IGHV6,8,0.00024245950926195326
IGHV6,9,0.00017780364012543237
IGHV6,10,0.00017780364012543237
IGHV6,11,8.081983642065108e-05
IGHV6,12,3.232793456826043e-05
IGHV6,13,9.69838037047813e-05
IGHV6,14,3.232793456826043e-05
IGHV6,15,3.232793456826043e-05
IGHV6,17,0.00012931173827304172
IGHV6,18,6.465586913652086e-05
IGHV6,19,4.849190185239065e-05
IGHV6,29,1.6163967284130215e-05
IGHV6,31,1.6163967284130215e-05
IGHV6,41,1.6163967284130215e-05
IGHV6,44,1.6163967284130215e-05
IGHV6,45,1.6163967284130215e-05
IGHV6,46,3.232793456826043e-05
IGHV6,49,1.6163967284130215e-05
IGHV6,50,1.6163967284130215e-05
IGHV6,52,3.232793456826043e-05
IGHV6,54,1.6163967284130215e-05
IGHV6,57,1.6163967284130215e-05
IGHV6,60,1.6163967284130215e-05
IGHV6,64,1.6163967284130215e-05
IGHV6,65,1.6163967284130215e-05
IGHV6,70,1.6163967284130215e-05
IGHV6,73,1.6163967284130215e-05
IGHV6,75,1.6163967284130215e-05
IGHV6,77,1.6163967284130215e-05
IGHV6,80,4.849190185239065e-05
IGHV6,83,1.6163967284130215e-05
IGHV6,87,1.6163967284130215e-05
IGHV6,91,1.6163967284130215e-05
IGHV6,96,1.6163967284130215e-05
IGHV6,97,4.849190185239065e-05
IGHV6,98,1.6163967284130215e-05
IGHV7,0,0.22541203974284044
IGHV7,1,0.2588194038573933
IGHV7,2,0.08670952659263588
IGHV7,3,0.21664523670368205
IGHV7,4,0.0849094097019287
IGHV7,5,0.10679135008766803
IGHV7,6,0.007761542957334892
IGHV7,7,0.005774400935125657
IGHV7,8,0.004511981297486849
IGHV7,9,0.0006779661016949153
IGHV7,10,0.0008883693746347166
IGHV7,11,0.00021040327293980128
IGHV7,12,4.67562828755114e-05
IGHV7,13,0.0001168907071887785
IGHV7,14,9.35125657510228e-05
IGHV7,15,7.01344243132671e-05
IGHV7,16,9.35125657510228e-05
IGHV7,17,2.33781414377557e-05
IGHV7,18,2.33781414377557e-05
IGHV7,19,4.67562828755114e-05
IGHV7,20,2.33781414377557e-05
IGHV7,21,4.67562828755114e-05
IGHV7,22,2.33781414377557e-05
IGHV7,24,4.67562828755114e-05
IGHV7,29,2.33781414377557e-05
IGHV7,43,2.33781414377557e-05
IGHV7,49,2.33781414377557e-05
IGHV7,55,7.01344243132671e-05
IGHV7,68,2.33781414377557e-05
IGHV7,74,2.33781414377557e-05
IGHV7,75,2.33781414377557e-05
IGHV7,90,2.33781414377557e-05
IGHV8,0,0.34547752204775223
IGHV8,1,0.07777210152721015
IGHV8,2,0.2886104538610454
